VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 481    21      57    60    61    20.5282       282    5.38965    
                 482     5      60    60    61    57.6617       282    5.38965    
                 483    61      60    51    60    6.83467       282    5.38965    
                 484    61      60    41    61    12.3367       282    5.38965    
                 485    61      61    44    61    10.4202       282    5.38965    
                 486    61      49    60    60    7.96114       282    5.38965    
                 487    26      59    60    61    12.4671       282    5.38965    
                 488    58      61    60    59    8.97299       282    5.38965    
                 489    61      59    61    60    7.63121       282    5.38965    
                 490    61      60    59    59    6.85482       282    5.38965    
                 491    61      59    60    58    7.10106       282    5.38965    
                 492    58      58    15    59    33.1097       282    5.38965    
                 493    61      38    60    61    9.70773       282    5.38965    
                 494    61      33    60    61    10.1133       282    5.38965    
                 495    61      60    27    60    25.7838       282    5.38965    
                 496    61      61    28    61    23.3432       282    5.38965    
                 497    61      60     7    61    61.6545       282    5.38965    
                 498    58      60    59    61    7.38978       282    5.38965    
                 499    60      61    60    58    8.52696       282    5.38965    
                 500    60      17    60    61    20.2042       282    5.38965    
                 501    61      60    22    61    21.0948       282    5.38965    
                 502    61      60    13    61    39.8866       282    5.38965    
                 503    61      15    60    61    23.4357       282    5.38965    
                 504    61      60    15    61    29.9805       282    5.38965    
                 505     4      60    60    60    52.6080       282    5.38965    
                 506    61      57    36    61    15.0013       282    5.38965    
                 507    60      60    57    61    7.64807       282    5.38965    
                 508    61      60    20    27    40.8389       282    5.38965    
                 509    61      27    59    59    21.5001       282    5.38965    
                 510    61      60    60    52    8.74505       282    5.38965    
                 511    45      60    60    61    7.91879       282    5.38965    
                 512    59      60     8    61    56.6455       282    5.38965    
                 513    60      60    60    42    10.4006       282    5.38965    
                 514    60      60    41    55    14.1419       282    5.38965    
                 515    61      60    58    58    7.85383       282    5.38965    
                 516    60      57    61    61    8.52328       282    5.38965    
                 517    61      61    59    60    7.82440       282    5.38965    
                 518    48      60    60    61    8.75861       282    5.38965    
                 519    60      60    58    34    16.4432       282    5.38965    
                 520    61      60    41    59    13.1939       282    5.38965    
                 521    61      60    58    44    9.62106       282    5.38965    
                 522    12      60    60    61    35.8265       282    5.38965    
                 523    61      61    34    61    19.2660       282    5.38965    
                 524    60      61    60    59    8.11893       282    5.38965    
                 525    60      58    60     4    49.2671       282    5.38965    
                 526    59      61    60    59    8.55361       282    5.38965    
                 527    60      57    60    61    7.17509       282    5.38965    
                 528    61       4    60    61    50.1117       282    5.38965    
                 529    56      60    60    59    7.09958       282    5.38965    
                 530    61      43    60    61    8.95893       282    5.38965    
                 531    61      58    60    60    6.70690       282    5.38965    
                 532     6      60    60    61    53.1397       282    5.38965    
                 533    24      60    60    61    14.9603       282    5.38965    
                 534    61      61    33    58    14.2625       282    5.38965    
                 535    61      60    49    61    8.29770       282    5.38965    
                 536    61      60    60    53    7.74694       282    5.38965    
                 537    61      60    34    61    18.3313       282    5.38965    
                 538    61      58    29    60    20.9240       282    5.38965    
                 539    41      60    60    61    11.1489       282    5.38965    
                 540    48      60    57    61    10.5357       282    5.38965    
                 541    61      10    60    61    33.1389       282    5.38965    
                 542    58      60    60    60    7.21921       282    5.38965    
                 543    58      61    58    61    9.27280       282    5.38965    
                 544    60      25    60    61    13.2466       282    5.38965    
                 545    61      60    53    61    8.17015       282    5.38965    
